input,best_output,score
核电占发电量比例最大的是哪个国家?,法国。在世界主要工业大国中，法国核电的比例最高，核电占国家总发电量的78%，位居世界第二，日本的核电比例为40%，德国为33%，韩国为30%，美国为22%,0.79296875
郑州是那个省的,苏。江苏省简称为“苏”,0.70703125
深圳合租记主题曲叫什么,牧羊曲。李连杰版的《少林寺》的主题曲是《牧羊曲》,0.72265625
开县是属于哪个市,重庆。重庆市开县中和镇，应该就属于重庆市开县埃,0.76953125
陈学冬现在居住地是哪里？韩国吗？,韩国。陈学冬现在正在韩国拍摄电影《拆婚联盟》,0.78125
乒乓球的起源地,英国。英国是现代拳击运动的发源地.,0.70703125
变形计哪个电视台演播？,湖南。湖南卫视卫视《变形记》每周一晚十点,0.80859375
称霸一方，胡作非为的人叫什么蛇?,地头蛇。称霸一方的无赖、流氓得人——————地头蛇,0.828125
"山东,山西,这里的山指",太行山。太行山以东的地方称为山东，太行山以西的地方称为山西,0.7578125
以前西凉是现在什么地方,甘肃。西凉地界在甘肃一带（因为在凉州以西所以叫西凉），隋时为雍州，唐时为陇右道,0.7109375
阿拉伯数字是哪国人发明的?,伊斯兰教。大部分阿拉伯人都是信仰伊斯兰教的,0.68359375
电影《泰坦尼克号》的主题曲叫做?,牧羊曲。李连杰版的《少林寺》的主题曲是《牧羊曲》,0.7421875
赌城在哪（美国）？,加州。由于早年的淘金热，加州有一个别名叫做金州...,0.65625
蛀牙又叫做什么?,苏。江苏省简称为“苏”,0.63671875
2012年奥运在哪里举行？,1988。1988年，乒乓球比赛在汉城第一次正式出现在奥运会上,0.7578125
水浒中病大虫是谁?,史进。梁山一百单八将中第一个出场的人物及其绰号是:（九纹龙史进）,0.76953125
《匆匆》的作者,吴承恩。西游记的作者是吴承恩,0.6953125
地三鲜是什么地方的菜肴？,苏。江苏省简称为“苏”,0.69921875
twins属于哪个唱片公司,英皇。twins的话当然是英皇啦公司老板是臭名昭著的杨受成，同公司的有谢霆锋，陈冠希，容祖儿，郑希怡rain是韩国的jypentertainment事务所，明年合约就满啦,0.67578125
伊丽莎白女王是哪个国家的？,郁金香。荷兰的国花是：郁金香,0.6640625
请问山城是指哪座城市？,重庆。山城是重庆的别称，其实山城是一种建城形态，因为重庆是中国最著名的山城，所以山城在某些时候便特指重庆,0.73828125
墨家的代表人物是谁？,墨子。墨家，为中国古代春秋战国时期的诸子百家之一，创始人为墨翟，世称墨子，墨家之名从创始人而得,0.71875
水浒传中“倒拔垂杨柳”的是谁,史进。梁山一百单八将中第一个出场的人物及其绰号是:（九纹龙史进）,0.734375
